Ticker,Date,Future_5D_Return,Large_Move
BA,2019-10-18,-0.01212213205736734,False
JPM,2025-02-20,-0.029047977341040365,False
MA,2024-02-20,0.050913115661317176,True
AAPL,2025-04-03,-0.06284760135353318,True
JNJ,2023-04-05,0.003019141345071308,False
MA,2025-06-13,-0.03501601815753175,False
AAPL,2025-08-06,0.09416179053249563,True
AAPL,2022-01-28,0.012094155676913632,False
MA,2020-10-28,0.054293386845748914,True
GS,2020-03-13,-0.21877290121025617,True
KO,2020-02-27,0.03295105339951121,False
WMT,2025-04-09,0.017745580294227015,False
JPM,2023-03-09,0.0031456473348863145,False
MA,2019-08-05,0.05123813989156312,True
WMT,2025-11-20,0.03174308193916975,False
AAPL,2026-01-20,0.04689903611088031,False
NVDA,2021-11-04,0.019764396590517652,False
JNJ,2019-07-12,-0.029709645588216094,False
JPM,2020-03-13,-0.19642000714847296,True
V,2021-10-27,-0.035591772727909254,False
NVDA,2026-02-06,-0.014023008749052601,False
CVX,2025-04-03,-0.1354086603306658,True
WMT,2020-08-27,0.05789363870791875,True
NVDA,2025-04-09,-0.0860666824953411,True
CAT,2023-12-14,0.017182710894412034,False
NVDA,2021-01-06,0.07271391464083798,True
CVX,2020-01-31,0.016800476591487756,False
GS,2023-01-17,-0.004543972320683265,False
JPM,2022-01-14,-0.0819558077866116,True
CVX,2026-01-05,-0.009215805366958763,False
CVX,2025-04-04,-0.053391917655360555,True
WMT,2022-11-15,0.028825232638574283,False
KO,2020-01-30,0.0022086487728030235,False
NVDA,2020-09-03,-0.06538356787398003,True
KO,2021-11-26,-0.0035361739871154763,False
KO,2023-05-22,-0.028125501372850636,False
BA,2020-03-11,-0.4611275734982888,True
AAPL,2024-01-02,-0.002693385055181574,False
PFE,2020-06-01,0.03186686592481558,False
AAPL,2024-06-11,0.03446777504235099,False
MA,2020-02-25,-0.03595369316178176,False
MA,2020-11-09,-0.026439474739122226,False
PFE,2020-10-28,0.05303240041588353,True
V,2024-11-06,0.006766483835859205,False
GS,2020-03-09,-0.105028610340269,True
BA,2020-03-09,-0.4294581077825198,True
AAPL,2026-06-25,0.1216791267635784,True
TSLA,2025-06-05,0.12086396792813847,True
V,2021-03-19,0.03204449047074198,False
PFE,2020-11-09,-0.04770406237486624,False
WMT,2020-09-01,-0.05217153560730026,True
WMT,2025-08-21,-0.01888524388945545,False
XOM,2020-01-31,-0.010463582137120953,False
MSFT,2023-04-26,0.030571821541027777,False
XOM,2020-02-05,-0.023274335965675186,False
WMT,2022-02-17,-0.01800112545660404,False
WMT,2025-08-06,-0.022929593001034587,False
JNJ,2023-01-30,0.008395065495997223,False
GS,2025-01-15,0.05541988717481017,True
PFE,2021-11-02,0.04070403615107554,False
CVX,2019-08-08,-0.050961667107169206,True
CVX,2023-10-27,0.02258395821956638,False
BA,2025-04-09,-0.02704891123867359,False
JNJ,2020-02-24,-0.04036734453991364,False
V,2020-11-09,9.405808326978793e-05,False
CAT,2025-04-09,-0.03611173969148462,False
CVX,2022-09-23,-0.007598301243711969,False
KO,2021-11-30,0.05262151156122363,True
MA,2025-06-18,0.013142051392208476,False
TSLA,2024-04-24,0.11015851521907227,True
XOM,2025-04-04,-0.01150083372014088,False
TSLA,2020-09-08,0.36204232383581036,True
