Date,AAPL,BA,CAT,CVX,GS,JNJ,JPM,KO,MA,MSFT,NVDA,PFE,TSLA,V,WMT,XOM
2024-08-12,217.52999877929688,164.1300048828125,336.0299987792969,145.02000427246094,485.5,159.8800048828125,206.19000244140625,68.16999816894531,455.69000244140625,406.80999755859375,109.0199966430664,28.450000762939453,197.49000549316406,259.8900146484375,68.69999694824219,119.0
2024-08-13,221.27000427246094,168.75999450683594,338.79998779296875,144.14999389648438,491.94000244140625,158.38999938964844,207.94000244140625,68.45999908447266,459.3599853515625,414.010009765625,116.13999938964844,28.850000381469727,207.8300018310547,260.1300048828125,68.12999725341797,117.86000061035156
2024-08-14,221.72000122070312,168.5,337.5899963378906,144.6699981689453,498.70001220703125,158.47999572753906,210.24000549316406,68.58000183105469,460.1600036621094,416.8599853515625,118.08000183105469,28.8799991607666,201.3800048828125,261.1400146484375,68.66000366210938,118.94999694824219
2024-08-15,224.72000122070312,176.41000366210938,345.6400146484375,146.8000030517578,499.0199890136719,159.08999633789062,211.5500030517578,68.6500015258789,468.7099914550781,421.0299987792969,122.86000061035156,28.709999084472656,214.13999938964844,266.79998779296875,73.18000030517578,118.7300033569336
2024-08-16,226.0500030517578,179.99000549316406,343.4800109863281,147.27000427246094,504.260009765625,159.38999938964844,213.97000122070312,69.18000030517578,468.8800048828125,418.4700012207031,124.58000183105469,28.299999237060547,216.1199951171875,267.3800048828125,73.44999694824219,118.16999816894531
2024-08-19,225.88999938964844,179.63999938964844,344.6499938964844,146.8300018310547,504.67999267578125,159.6300048828125,215.4499969482422,68.9800033569336,466.9800109863281,421.5299987792969,130.0,28.799999237060547,222.72000122070312,266.4700012207031,73.72000122070312,118.52999877929688
2024-08-20,226.50999450683594,172.10000610351562,343.29998779296875,144.69000244140625,497.3399963378906,160.16000366210938,214.52000427246094,69.37999725341797,469.1199951171875,424.79998779296875,127.25,28.899999618530273,221.10000610351562,268.0400085449219,74.54000091552734,114.58000183105469
2024-08-21,226.39999389648438,173.42999267578125,342.9700012207031,145.32000732421875,496.4599914550781,161.42999267578125,214.60000610351562,69.56999969482422,468.0,424.1400146484375,128.5,29.030000686645508,223.27000427246094,268.20001220703125,75.23999786376953,113.8499984741211
2024-08-22,224.52999877929688,172.75999450683594,342.3599853515625,145.72999572753906,497.75,162.35000610351562,216.6300048828125,69.33000183105469,468.82000732421875,415.54998779296875,123.73999786376953,28.780000686645508,210.66000366210938,267.94000244140625,75.58000183105469,114.7300033569336
2024-08-23,226.83999633789062,174.9600067138672,348.4100036621094,147.6199951171875,509.4200134277344,164.1300048828125,218.30999755859375,69.79000091552734,466.44000244140625,416.7900085449219,129.3699951171875,28.899999618530273,220.32000732421875,267.44000244140625,75.69999694824219,116.31999969482422
2024-08-26,227.17999267578125,173.47999572753906,351.1600036621094,148.5,507.8699951171875,164.61000061035156,219.1699981689453,70.83999633789062,468.6400146484375,413.489990234375,126.45999908447266,28.920000076293945,213.2100067138672,268.2099914550781,76.02999877929688,118.80999755859375
2024-08-27,228.02999877929688,173.0500030517578,351.1199951171875,146.9499969482422,507.260009765625,162.9499969482422,220.17999267578125,71.5,474.989990234375,413.8399963378906,128.3000030517578,28.81999969482422,209.2100067138672,270.7200012207031,76.12999725341797,117.68000030517578
2024-08-28,226.49000549316406,170.7100067138672,348.20001220703125,146.0,503.3299865722656,163.9199981689453,221.2899932861328,71.75,471.79998779296875,410.6000061035156,125.61000061035156,28.75,205.75,269.19000244140625,76.08000183105469,116.5199966430664
2024-08-29,229.7899932861328,172.25999450683594,351.6400146484375,147.4199981689453,510.1000061035156,164.22999572753906,222.2100067138672,72.05000305175781,480.79998779296875,413.1199951171875,117.58999633789062,28.719999313354492,206.27999877929688,274.32000732421875,76.41999816894531,118.12999725341797
2024-08-30,229.0,173.74000549316406,356.1000061035156,147.9499969482422,510.25,165.86000061035156,224.8000030517578,72.47000122070312,483.3399963378906,417.1400146484375,119.37000274658203,29.010000228881836,214.11000061035156,276.3699951171875,77.2300033569336,117.94000244140625
2024-09-03,222.77000427246094,161.02000427246094,340.239990234375,144.66000366210938,487.4599914550781,167.16000366210938,220.3000030517578,73.01000213623047,482.1199951171875,409.44000244140625,108.0,28.299999237060547,210.60000610351562,278.5400085449219,77.16999816894531,115.47000122070312
2024-09-04,220.85000610351562,163.22000122070312,336.75,142.07000732421875,490.6400146484375,167.36000061035156,219.3300018310547,72.55999755859375,483.1400146484375,408.8999938964844,106.20999908447266,28.389999389648438,219.41000366210938,280.489990234375,77.23999786376953,114.05999755859375
2024-09-05,222.3800048828125,162.14999389648438,333.55999755859375,140.92999267578125,487.8800048828125,164.99000549316406,217.6300048828125,71.16999816894531,477.3599853515625,408.3900146484375,107.20999908447266,28.510000228881836,230.1699981689453,278.6199951171875,76.95999908447266,113.16999816894531
2024-09-06,220.82000732421875,157.6199951171875,329.3599853515625,138.55999755859375,479.6099853515625,164.3800048828125,212.4600067138672,71.13999938964844,476.1199951171875,401.70001220703125,102.83000183105469,28.559999465942383,210.72999572753906,279.3699951171875,76.63999938964844,112.63999938964844
2024-09-09,220.91000366210938,162.91000366210938,334.0400085449219,140.3000030517578,488.57000732421875,166.61000061035156,216.80999755859375,71.8499984741211,487.0899963378906,405.7200012207031,106.47000122070312,29.40999984741211,216.27000427246094,285.6099853515625,77.33999633789062,115.01000213623047
2024-09-10,220.11000061035156,160.07000732421875,334.1600036621094,138.22999572753906,467.1300048828125,167.3800048828125,205.55999755859375,71.55000305175781,488.0199890136719,414.20001220703125,108.0999984741211,29.739999771118164,226.1699981689453,285.3399963378906,78.80999755859375,110.81999969482422
2024-09-11,222.66000366210938,161.3300018310547,335.0,137.8800048828125,471.1700134277344,164.82000732421875,207.22999572753906,71.08000183105469,488.17999267578125,423.0400085449219,116.91000366210938,29.65999984741211,228.1300048828125,283.9599914550781,78.83999633789062,109.72000122070312
2024-09-12,222.77000427246094,162.77000427246094,339.5799865722656,139.2100067138672,474.05999755859375,164.63999938964844,206.60000610351562,71.2300033569336,492.1099853515625,427.0,119.13999938964844,29.15999984741211,229.80999755859375,285.3699951171875,79.66000366210938,111.2300033569336
2024-09-13,222.5,156.77000427246094,345.30999755859375,140.61000061035156,478.989990234375,165.52000427246094,204.32000732421875,71.41000366210938,493.3599853515625,430.5899963378906,119.0999984741211,29.270000457763672,230.2899932861328,287.3500061035156,80.5999984741211,111.1500015258789
2024-09-16,216.32000732421875,155.5500030517578,347.9599914550781,142.08999633789062,485.1600036621094,166.99000549316406,207.86000061035156,72.0999984741211,497.7099914550781,431.3399963378906,116.77999877929688,30.06999969482422,226.77999877929688,290.4800109863281,80.55999755859375,112.70999908447266
2024-09-17,216.7899932861328,156.38999938964844,353.69000244140625,143.41000366210938,485.3900146484375,167.07000732421875,209.25,71.80000305175781,500.989990234375,435.1499938964844,115.58999633789062,29.829999923706055,227.8699951171875,291.55999755859375,78.5999984741211,114.18000030517578
2024-09-18,220.69000244140625,155.11000061035156,355.1199951171875,143.9600067138672,484.5799865722656,166.14999389648438,207.52999877929688,71.75,494.760009765625,430.80999755859375,113.37000274658203,29.75,227.1999969482422,288.4800109863281,79.02999877929688,114.58000183105469
2024-09-19,228.8699951171875,154.58999633789062,373.30999755859375,144.99000549316406,503.8299865722656,164.82000732421875,210.47999572753906,70.62000274658203,493.010009765625,438.69000244140625,117.87000274658203,29.65999984741211,243.9199981689453,285.239990234375,78.04000091552734,116.0
2024-09-20,228.1999969482422,153.2899932861328,368.82000732421875,145.67999267578125,498.42999267578125,164.16000366210938,211.08999633789062,71.63999938964844,492.739990234375,435.2699890136719,116.0,29.420000076293945,238.25,284.7699890136719,79.05999755859375,115.2699966430664
2024-09-23,226.47000122070312,156.3000030517578,371.1700134277344,147.5399932861328,497.4100036621094,163.22000122070312,211.44000244140625,71.7300033569336,497.1400146484375,433.510009765625,116.26000213623047,29.309999465942383,250.0,288.6300048828125,80.33000183105469,117.36000061035156
2024-09-24,227.3699951171875,155.80999755859375,385.92999267578125,147.4499969482422,498.0199890136719,162.77999877929688,211.58999633789062,71.33000183105469,487.4100036621094,429.1700134277344,120.87000274658203,29.5,254.27000427246094,272.7799987792969,80.66999816894531,117.05000305175781
2024-09-25,226.3699951171875,152.22000122070312,378.25,143.97000122070312,491.1400146484375,160.60000610351562,210.19000244140625,71.44999694824219,489.45001220703125,432.1099853515625,123.51000213623047,28.93000030517578,257.0199890136719,269.6300048828125,81.4000015258789,114.7699966430664
2024-09-26,227.52000427246094,154.5800018310547,390.9599914550781,141.99000549316406,496.9200134277344,161.38999938964844,209.77999877929688,71.4000015258789,491.2699890136719,431.30999755859375,124.04000091552734,28.969999313354492,254.22000122070312,271.69000244140625,79.91999816894531,112.80000305175781
2024-09-27,227.7899932861328,156.32000732421875,391.0799865722656,145.49000549316406,498.510009765625,161.39999389648438,210.5,71.79000091552734,493.6400146484375,428.0199890136719,121.4000015258789,29.09000015258789,260.4599914550781,275.1700134277344,79.77999877929688,115.81999969482422
2024-09-30,233.0,152.0399932861328,391.1199951171875,147.27000427246094,495.1099853515625,162.05999755859375,210.86000061035156,71.86000061035156,493.79998779296875,430.29998779296875,121.44000244140625,28.940000534057617,261.6300048828125,274.95001220703125,80.75,117.22000122070312
2024-10-01,226.2100067138672,154.22000122070312,392.3900146484375,149.6999969482422,490.1700134277344,161.99000549316406,207.0399932861328,71.70999908447266,496.3800048828125,420.69000244140625,117.0,28.670000076293945,258.0199890136719,277.6000061035156,81.2699966430664,119.93000030517578
2024-10-02,226.77999877929688,152.88999938964844,394.04998779296875,150.9499969482422,491.989990234375,161.1699981689453,207.2899932861328,71.01000213623047,495.57000732421875,417.1300048828125,118.8499984741211,28.610000610351562,249.02000427246094,277.0,80.43000030517578,121.5199966430664
2024-10-03,225.6699981689453,150.52000427246094,391.0899963378906,151.25,486.1000061035156,160.5,205.22999572753906,70.5199966430664,494.9700012207031,416.5400085449219,122.8499984741211,28.34000015258789,240.66000366210938,276.8599853515625,80.43000030517578,122.58000183105469
2024-10-04,226.8000030517578,155.0,397.0899963378906,150.74000549316406,495.1600036621094,160.2899932861328,211.22000122070312,70.16999816894531,497.70001220703125,416.05999755859375,124.91999816894531,28.579999923706055,250.0800018310547,277.92999267578125,80.94000244140625,124.83000183105469
